day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
106,10.149,12.814,9.161,9.360,8.924,10.005,8.922,9.041,8.991,10.918,8.862,9.248,9.410,8.337,8.542,9.192,8.032,9.055,9.828,9.602,10.000,11.111,9.098,9.270,8.470,9.450,9.014,8.540,8.061,10.783
107,10.305,12.517,9.387,9.562,9.330,10.021,8.659,9.053,9.070,10.880,8.870,9.310,9.687,8.250,8.926,9.292,8.361,9.403,9.733,9.878,10.022,11.111,9.233,9.228,8.663,9.616,9.318,8.335,8.225,10.558
108,10.520,12.383,9.384,9.862,9.537,10.325,9.112,9.128,9.207,11.080,9.017,9.383,9.979,8.371,8.948,10.002,8.688,9.614,9.629,10.048,10.000,11.301,9.396,9.360,9.068,9.559,9.684,8.300,8.442,10.277
109,10.526,12.210,9.308,9.956,9.462,10.617,9.332,9.020,9.824,11.193,9.182,9.489,10.021,8.708,9.025,10.142,8.732,9.900,9.717,9.975,10.126,11.450,9.598,9.510,9.633,9.764,9.979,8.308,8.535,10.227
110,10.426,12.148,9.353,10.271,9.532,10.767,9.757,8.999,9.772,11.368,9.370,9.580,10.054,8.679,9.138,10.326,8.734,10.142,9.854,9.917,10.306,11.501,9.690,9.537,10.126,10.124,10.094,8.320,8.613,10.577
111,10.226,12.073,9.395,10.463,9.766,10.888,9.737,9.220,10.031,11.493,9.520,9.473,10.208,8.538,9.303,10.633,8.667,10.153,9.731,9.885,10.320,11.667,9.893,9.702,10.408,10.567,10.104,8.427,8.820,11.035
112,10.220,12.360,9.579,10.627,10.168,10.855,9.414,9.407,10.241,11.688,9.912,9.316,10.625,8.658,9.517,10.804,8.604,10.116,9.648,9.908,10.388,11.667,10.251,9.937,10.594,10.771,10.265,8.507,9.177,11.387
113,10.500,12.423,9.568,10.805,10.458,10.613,9.758,9.270,10.370,11.699,10.219,9.498,10.904,8.639,9.249,10.567,8.850,10.292,9.631,9.783,10.788,11.667,10.381,10.242,10.933,11.174,10.573,8.548,9.433,11.759
114,10.583,12.598,9.560,10.913,10.687,10.578,10.398,9.324,10.210,11.795,10.391,9.704,11.155,8.750,9.261,10.822,9.334,10.320,9.552,9.717,10.847,11.667,10.534,10.471,11.429,11.375,10.773,9.018,9.495,12.185
115,10.919,12.935,9.343,10.934,10.741,10.767,11.363,8.908,10.441,11.641,10.643,9.990,11.346,8.940,9.638,10.985,9.408,10.429,9.711,9.638,10.782,11.667,10.726,10.453,11.584,11.438,10.704,9.091,9.315,12.446
116,11.224,13.058,9.321,10.905,10.745,11.088,10.738,8.920,9.858,11.839,11.113,10.456,11.300,9.172,9.912,10.883,9.231,10.827,9.850,9.571,10.953,11.667,10.948,10.545,11.235,11.411,10.630,9.281,9.073,12.251
117,10.733,12.871,9.725,11.117,10.531,11.426,11.083,9.157,10.213,11.893,11.381,10.821,11.164,9.288,10.054,11.047,9.219,11.199,10.249,9.575,11.203,11.807,10.925,10.964,10.982,10.982,10.675,9.514,9.225,11.843
118,10.719,12.752,9.758,11.365,10.369,11.351,11.015,9.237,10.548,12.131,11.442,10.975,11.267,9.297,9.941,11.429,9.323,11.514,10.328,9.728,11.276,11.962,10.995,11.487,10.861,10.959,10.887,9.641,9.648,11.667
119,10.978,13.044,9.700,11.699,10.598,11.313,11.050,9.628,10.323,12.080,11.516,11.059,11.438,9.472,9.813,11.713,9.431,11.576,10.401,10.012,11.505,11.907,11.143,11.814,10.905,11.062,11.083,9.597,9.960,11.405
