day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
120,,10.446,10.488,12.363,10.877,10.875,11.190,10.329,11.090,12.160,11.393,10.719,11.115,9.900,10.123,11.263,9.453,10.993,10.695,10.468,12.219,12.028,10.488,11.079,12.043,12.528,,9.906,11.244,11.717
121,,10.633,10.239,12.547,10.983,10.913,10.820,10.469,11.333,12.155,11.602,10.781,11.075,9.993,10.143,11.312,9.659,11.060,10.789,10.693,12.570,12.102,10.505,11.246,12.022,12.632,,10.136,11.437,11.609
122,,10.671,10.333,12.786,10.919,11.135,10.276,10.572,11.456,12.329,11.908,11.013,11.152,10.135,10.247,11.373,9.872,10.976,11.014,10.902,12.550,12.343,10.542,11.558,11.887,12.676,,10.455,11.221,11.608
123,,10.575,10.538,13.022,10.864,11.311,11.284,10.459,11.373,12.621,12.294,11.305,11.365,10.215,10.303,11.420,9.932,11.052,11.323,10.963,12.772,12.657,10.958,11.846,11.818,12.715,,10.567,11.573,11.771
124,,10.475,10.600,13.235,10.814,11.321,11.737,10.516,11.313,12.910,12.781,11.618,11.479,10.371,10.353,11.306,10.052,11.215,11.578,10.978,13.016,12.962,11.472,12.084,11.849,12.700,,10.916,11.846,11.910
125,,10.575,10.988,13.612,10.838,11.420,11.938,10.371,11.283,13.053,12.879,11.827,11.453,10.591,10.270,11.323,10.165,11.179,11.876,11.167,13.110,13.027,11.700,12.296,12.118,12.777,,11.120,11.896,12.063
126,,10.667,10.925,13.915,10.856,11.638,12.135,10.273,11.438,13.021,12.860,11.783,11.564,10.922,10.345,11.194,10.358,10.937,12.140,11.447,13.233,12.992,11.669,12.495,12.343,12.885,,11.061,12.085,11.868
127,,10.758,10.954,14.103,10.810,11.826,12.467,10.235,11.441,13.019,12.991,11.663,11.953,11.058,10.319,11.289,10.462,10.869,12.417,11.751,13.217,13.243,11.710,12.789,12.503,12.897,,11.119,12.278,11.758
128,,10.629,11.096,14.129,10.860,12.105,12.740,10.491,11.625,13.094,13.180,11.581,12.403,10.925,10.359,11.427,10.460,10.902,12.774,11.958,13.281,13.673,12.050,12.807,12.628,12.791,,11.182,12.346,11.671
129,,10.583,11.313,,10.662,12.238,13.239,10.693,11.593,13.430,13.211,11.671,12.381,10.827,10.626,11.623,10.565,11.053,12.978,12.002,13.581,13.848,12.194,12.737,12.858,12.759,,11.277,12.350,11.830
130,,10.754,11.683,,10.610,12.279,12.938,10.766,11.626,13.694,13.098,11.924,12.285,11.037,10.883,11.725,10.965,10.991,13.236,12.043,14.001,13.780,12.224,12.684,12.905,13.203,,11.327,12.427,12.194
131,,10.996,11.971,13.495,10.786,12.090,13.207,11.077,11.833,13.766,13.375,12.237,12.372,11.293,11.068,11.743,11.151,10.802,13.540,12.310,14.018,13.839,12.275,12.559,13.176,13.526,,11.151,12.703,12.561
132,,11.263,11.963,13.250,10.895,11.899,13.508,11.354,11.900,13.585,13.511,12.333,12.475,11.439,11.034,11.765,11.381,10.958,13.918,12.458,13.945,14.222,12.244,12.705,13.287,13.502,,11.604,12.893,12.902
133,,11.404,12.125,13.028,10.853,11.932,13.637,11.497,12.232,13.651,13.672,12.385,12.386,11.401,10.993,11.993,11.598,11.313,14.116,12.590,13.996,14.599,12.294,12.818,13.390,13.287,,11.505,13.169,13.212
134,,11.538,12.552,13.101,10.876,12.163,13.660,11.430,12.439,13.861,13.755,12.620,12.563,11.430,11.120,12.482,11.820,11.685,13.989,12.736,13.943,14.750,12.444,12.865,13.443,13.171,,11.591,13.404,13.379
135,,11.938,13.046,12.986,11.004,12.353,13.520,11.244,12.298,14.034,13.819,12.894,13.048,11.765,11.488,12.897,11.845,12.119,13.942,13.007,14.056,14.771,12.477,13.281,13.365,13.174,,11.808,13.514,13.388
136,,12.017,13.292,12.853,11.232,12.690,13.384,11.845,12.138,14.043,13.794,13.203,13.409,12.289,11.924,13.167,11.754,12.622,14.007,13.269,14.179,14.677,12.171,13.479,13.432,13.171,,12.096,13.540,13.542
137,,12.117,13.329,12.584,11.338,12.835,13.255,12.058,12.064,14.050,13.915,13.506,13.507,12.697,12.290,13.207,11.983,12.763,14.086,13.381,14.519,14.615,11.766,13.451,13.425,13.132,,12.364,13.428,13.988
138,13.250,12.279,13.357,12.482,11.491,12.786,13.469,12.320,12.050,14.093,13.985,13.815,13.652,12.840,12.671,13.124,12.075,12.685,13.925,13.400,14.882,14.682,11.936,13.551,13.587,12.983,,12.470,13.607,14.231
139,13.346,12.300,13.505,12.454,11.678,12.786,13.748,12.561,12.183,14.053,14.025,14.032,13.800,13.123,12.775,13.205,12.172,12.816,13.860,13.631,15.053,15.064,12.236,13.610,13.820,12.951,,12.392,13.846,14.281
140,13.721,12.325,13.514,12.473,12.050,13.088,13.946,12.667,12.495,14.035,14.045,14.310,13.849,13.205,12.702,13.199,12.261,13.152,13.894,13.939,15.221,15.114,12.481,13.755,13.840,12.854,13.925,12.440,14.082,14.379
141,14.071,12.429,13.224,12.387,12.284,13.427,14.383,12.837,12.765,14.273,13.984,14.599,13.596,13.353,12.875,13.149,12.228,13.514,13.946,14.134,15.363,15.005,12.735,13.779,13.605,12.887,13.929,12.582,14.286,14.541
142,14.396,12.388,13.191,12.362,12.617,13.721,14.963,12.990,13.023,14.155,13.848,14.733,13.636,13.257,13.290,12.964,12.305,13.665,13.628,14.261,15.368,14.784,12.938,13.954,13.535,12.872,13.929,12.796,14.035,14.485
143,14.492,12.350,12.875,12.612,12.965,14.058,15.363,12.967,13.194,13.981,13.909,14.770,13.750,13.246,13.682,12.891,12.385,13.571,13.368,14.288,15.185,14.825,13.181,14.165,13.635,12.924,13.913,12.963,14.071,14.228
144,14.542,12.250,12.827,12.848,13.478,14.306,15.851,13.172,13.301,14.052,13.961,14.878,13.960,13.065,13.800,12.765,12.414,13.519,13.460,14.308,15.090,14.876,13.125,14.558,13.642,12.963,13.920,12.964,14.385,14.188
